Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
redcapid,register_interview_child_psychiatric,,text,"RedCAP ID (Famid-Indid-Rhinf)

Enter as NNNN-NNN-NNN",,,,,,,,y,,,,,
famid,register_interview_child_psychiatric,,text,Family ID,,,number,1000,9999,,,y,,,,,
indid,register_interview_child_psychiatric,,text,Individual ID,,,number,1,999,,,y,,,,,
rhinf,register_interview_child_psychiatric,,text,Informant ID,,,number,1,999,,,y,,,,,
studyid_calc,register_interview_child_psychiatric,,calc,Study ID (Calculated),([famid]*1000+[indid]),,,,,,,,,,,,
dcscr001a,register_interview_child_psychiatric,,radio,Informant Type,"1, Child | 2, Parent",,,,,,,y,RH,,,,
dcscr002a,register_interview_child_psychiatric,,text,Interview Date,,,date_mdy,,,,,,RH,,,,
dcscr003a,register_interview_child_psychiatric,,dropdown,Interviewer,"35, Unknown (XXX) | 44, Other | 1, Amanda Kalaydjian (AEK) | 2, Amber Knot (AEK) | 43, Anna Van Meter (AVM) | 3, April Szilagi (AMS) | 4, Barbara Usher (BAU) | 49, Beth Foote (BMF) | 5, Brian Smith (BAS) | 6, Cathy Roca (CAR) | 7, Christina Beccue (CAB) | 37, Claudia Choque (CXC) | 50, Diana Lopez (DXL) | 8, Diane Lameira (DML) | 46, Emma Stapp (EKS) | 9, Erin Knight (EFK) | 10, Francesca Belouad (FKB) | 11, Jihui Zhang (JZ) | 12, John Eun (JDE) | 13, Judith Mulvihill (JEM) | 45, Kailyn Witonsky (KFW) | 14, Karen Amer (KGA) | 15, Kathy O'Leary (KOL) | 16, Kelly Murphy (KLM) | 17, Kristin Keefe (KEK) | 38, Lara Baez (LMB) | 18, Leanne Heaton (LLH) | 19, Lisa Misra (LBM) | 36, Martina Lavrisha (MML) | 20, Marcy Burstein (MEB) | 48, Mary Ellen Cadman (MEC) | 42, Megan Tsui (MTT) | 40, Mike Xiao (MXX) | 21, Mitch Kling (MAK) | 22, Nancy Low (NCL) | 23, Nicole Jameson (NDJ) | 39, Rachel Walsh (RFW) | 41, Rebecca Hommer (RXH) | 24, Richard Herrell (RKH) | 25, Roman Duncko (RAD) | 26, Shannon Winter (SNW) | 27, Srirangam Shreeram (SSS) | 28, Sue Goo (SJG) | 29, Suzan Khoromi (SFK) | 30, Suzanne McGarity (SKM) | 31, Taryn Miller (TBM) | 32, Tarannum Lateef (TML) | 33, Vetisha McClair (VLM) | 34, Wendell Wu (WWW)",,,,,,,y,RH,,,,
dcscr004a,register_interview_child_psychiatric,,dropdown,Co-rater 1,"35, Unknown (XXX) | 44, Other | 1, Amanda Kalaydjian (AEK) | 2, Amber Knot (AEK) | 43, Anna Van Meter (AVM) | 3, April Szilagi (AMS) | 4, Barbara Usher (BAU) | 49, Beth Foote (BMF) | 5, Brian Smith (BAS) | 6, Cathy Roca (CAR) | 7, Christina Beccue (CAB) | 37, Claudia Choque (CXC) | 50, Diana Lopez (DXL) | 8, Diane Lameira (DML) | 46, Emma Stapp (EKS) | 9, Erin Knight (EFK) | 10, Francesca Belouad (FKB) | 11, Jihui Zhang (JZ) | 12, John Eun (JDE) | 13, Judith Mulvihill (JEM) | 45, Kailyn Witonsky (KFW) | 14, Karen Amer (KGA) | 15, Kathy O'Leary (KOL) | 16, Kelly Murphy (KLM) | 17, Kristin Keefe (KEK) | 38, Lara Baez (LMB) | 18, Leanne Heaton (LLH) | 19, Lisa Misra (LBM) | 36, Martina Lavrisha (MML) | 20, Marcy Burstein (MEB) | 48, Mary Ellen Cadman (MEC) | 42, Megan Tsui (MTT) | 40, Mike Xiao (MXX) | 21, Mitch Kling (MAK) | 22, Nancy Low (NCL) | 23, Nicole Jameson (NDJ) | 39, Rachel Walsh (RFW) | 41, Rebecca Hommer (RXH) | 24, Richard Herrell (RKH) | 25, Roman Duncko (RAD) | 26, Shannon Winter (SNW) | 27, Srirangam Shreeram (SSS) | 28, Sue Goo (SJG) | 29, Suzan Khoromi (SFK) | 30, Suzanne McGarity (SKM) | 31, Taryn Miller (TBM) | 32, Tarannum Lateef (TML) | 33, Vetisha McClair (VLM) | 34, Wendell Wu (WWW)",,,,,,,,RH,,,,
dcscr004b,register_interview_child_psychiatric,,dropdown,Co-rater 2,"35, Unknown (XXX) | 44, Other | 1, Amanda Kalaydjian (AEK) | 2, Amber Knot (AEK) | 43, Anna Van Meter (AVM) | 3, April Szilagi (AMS) | 4, Barbara Usher (BAU) | 49, Beth Foote (BMF) | 5, Brian Smith (BAS) | 6, Cathy Roca (CAR) | 7, Christina Beccue (CAB) | 37, Claudia Choque (CXC) | 50, Diana Lopez (DXL) | 8, Diane Lameira (DML) | 46, Emma Stapp (EKS) | 9, Erin Knight (EFK) | 10, Francesca Belouad (FKB) | 11, Jihui Zhang (JZ) | 12, John Eun (JDE) | 13, Judith Mulvihill (JEM) | 45, Kailyn Witonsky (KFW) | 14, Karen Amer (KGA) | 15, Kathy O'Leary (KOL) | 16, Kelly Murphy (KLM) | 17, Kristin Keefe (KEK) | 38, Lara Baez (LMB) | 18, Leanne Heaton (LLH) | 19, Lisa Misra (LBM) | 36, Martina Lavrisha (MML) | 20, Marcy Burstein (MEB) | 48, Mary Ellen Cadman (MEC) | 42, Megan Tsui (MTT) | 40, Mike Xiao (MXX) | 21, Mitch Kling (MAK) | 22, Nancy Low (NCL) | 23, Nicole Jameson (NDJ) | 39, Rachel Walsh (RFW) | 41, Rebecca Hommer (RXH) | 24, Richard Herrell (RKH) | 25, Roman Duncko (RAD) | 26, Shannon Winter (SNW) | 27, Srirangam Shreeram (SSS) | 28, Sue Goo (SJG) | 29, Suzan Khoromi (SFK) | 30, Suzanne McGarity (SKM) | 31, Taryn Miller (TBM) | 32, Tarannum Lateef (TML) | 33, Vetisha McClair (VLM) | 34, Wendell Wu (WWW)",,,,,,,,RH,,,,
